b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.371	0.708	0.381	0.23	0.369	0.387	0.139	0.106	0.194	0.059	0.067	0.041	0.033	0.033	3.01	5.964	3.037	1.838	2.911	3.046	1.094
0.392	0.692	0.385	0.237	0.365	0.384	0.138	0.107	0.195	0.06	0.066	0.04	0.033	0.033	3.185	5.834	3.07	1.892	2.88	3.025	1.086
0.392	0.692	0.385	0.237	0.365	0.384	0.138	0.107	0.195	0.06	0.066	0.04	0.033	0.033	3.185	5.834	3.07	1.892	2.88	3.025	1.086
0.4	0.688	0.385	0.237	0.365	0.382	0.138	0.107	0.195	0.059	0.066	0.04	0.033	0.033	3.25	5.798	3.064	1.89	2.882	3.007	1.086
0.407	0.686	0.382	0.237	0.364	0.385	0.138	0.106	0.194	0.06	0.065	0.04	0.033	0.033	3.31	5.776	3.038	1.89	2.876	3.029	1.088
0.413	0.686	0.38	0.235	0.365	0.385	0.138	0.105	0.194	0.06	0.065	0.04	0.033	0.033	3.351	5.783	3.023	1.874	2.883	3.031	1.089
0.413	0.686	0.38	0.235	0.365	0.385	0.138	0.104	0.194	0.06	0.066	0.04	0.033	0.034	3.348	5.778	3.026	1.878	2.884	3.027	1.086
0.413	0.682	0.383	0.237	0.365	0.384	0.138	0.104	0.194	0.059	0.065	0.04	0.033	0.033	3.354	5.742	3.045	1.892	2.883	3.021	1.083
0.416	0.681	0.379	0.24	0.371	0.383	0.138	0.102	0.195	0.059	0.065	0.04	0.032	0.033	3.369	5.741	3.02	1.915	2.929	3.011	1.087
0.414	0.685	0.38	0.24	0.371	0.383	0.138	0.102	0.195	0.059	0.066	0.039	0.032	0.033	3.358	5.769	3.022	1.914	2.926	3.012	1.087
0.414	0.684	0.385	0.233	0.375	0.38	0.138	0.1	0.194	0.058	0.065	0.039	0.032	0.033	3.357	5.766	3.065	1.859	2.957	2.987	1.087
0.417	0.68	0.39	0.229	0.376	0.383	0.138	0.102	0.195	0.059	0.064	0.039	0.032	0.033	3.382	5.726	3.104	1.827	2.964	3.016	1.084
0.417	0.68	0.39	0.229	0.376	0.383	0.138	0.102	0.195	0.059	0.064	0.039	0.032	0.033	3.382	5.726	3.104	1.827	2.964	3.016	1.084
0.419	0.68	0.387	0.233	0.37	0.381	0.137	0.102	0.195	0.059	0.064	0.039	0.033	0.033	3.393	5.733	3.08	1.855	2.921	2.999	1.079
0.417	0.675	0.392	0.229	0.372	0.379	0.137	0.103	0.195	0.059	0.065	0.04	0.033	0.034	3.384	5.691	3.123	1.829	2.937	2.985	1.075
0.417	0.675	0.392	0.229	0.372	0.379	0.137	0.103	0.195	0.059	0.065	0.04	0.033	0.034	3.384	5.691	3.123	1.829	2.937	2.985	1.075
0.41	0.681	0.391	0.231	0.373	0.375	0.137	0.103	0.194	0.059	0.065	0.039	0.033	0.034	3.325	5.738	3.115	1.844	2.943	2.954	1.082
0.403	0.68	0.393	0.231	0.373	0.378	0.136	0.103	0.194	0.06	0.064	0.039	0.033	0.034	3.271	5.731	3.133	1.841	2.944	2.973	1.07
0.403	0.68	0.393	0.231	0.373	0.378	0.136	0.103	0.194	0.06	0.064	0.039	0.033	0.034	3.271	5.731	3.133	1.841	2.944	2.973	1.07
0.402	0.679	0.394	0.234	0.369	0.379	0.137	0.101	0.195	0.06	0.065	0.039	0.033	0.034	3.261	5.722	3.137	1.869	2.916	2.979	1.082
0.405	0.682	0.391	0.233	0.372	0.381	0.137	0.101	0.195	0.06	0.065	0.04	0.032	0.033	3.282	5.745	3.113	1.858	2.937	2.995	1.081
0.401	0.686	0.38	0.236	0.377	0.379	0.138	0.101	0.196	0.06	0.066	0.04	0.033	0.033	3.253	5.785	3.023	1.884	2.973	2.984	1.083
0.397	0.697	0.375	0.235	0.377	0.383	0.139	0.101	0.197	0.061	0.066	0.04	0.032	0.033	3.215	5.876	2.985	1.876	2.974	3.01	1.096
0.386	0.702	0.378	0.233	0.377	0.381	0.139	0.101	0.197	0.061	0.066	0.04	0.032	0.033	3.13	5.919	3.014	1.859	2.977	2.995	1.092
0.371	0.703	0.378	0.236	0.377	0.386	0.137	0.1	0.199	0.062	0.067	0.04	0.033	0.033	3.005	5.936	3.012	1.888	2.974	3.035	1.075
0.352	0.712	0.383	0.232	0.375	0.387	0.136	0.1	0.199	0.063	0.067	0.04	0.033	0.033	2.851	6.011	3.051	1.85	2.961	3.046	1.07
0.358	0.713	0.377	0.232	0.377	0.39	0.136	0.1	0.199	0.062	0.068	0.041	0.032	0.033	2.904	6.017	3.007	1.855	2.975	3.072	1.073
0.357	0.718	0.376	0.23	0.378	0.389	0.137	0.101	0.199	0.063	0.067	0.041	0.032	0.032	2.895	6.065	2.996	1.841	2.985	3.061	1.079
0.364	0.714	0.376	0.227	0.377	0.388	0.139	0.102	0.201	0.062	0.069	0.042	0.033	0.033	2.952	6.031	2.996	1.818	2.981	3.055	1.091
0.362	0.71	0.382	0.226	0.373	0.388	0.139	0.101	0.2	0.062	0.068	0.042	0.033	0.033	2.936	5.994	3.044	1.809	2.948	3.052	1.094
0.367	0.704	0.384	0.227	0.372	0.387	0.137	0.101	0.201	0.062	0.068	0.042	0.033	0.034	2.975	5.95	3.058	1.817	2.937	3.046	1.077
0.367	0.704	0.384	0.227	0.372	0.387	0.137	0.101	0.201	0.062	0.068	0.042	0.033	0.034	2.975	5.95	3.058	1.817	2.937	3.046	1.077
0.367	0.704	0.384	0.227	0.372	0.387	0.137	0.101	0.201	0.062	0.068	0.042	0.033	0.034	2.975	5.95	3.058	1.817	2.937	3.046	1.077
0.367	0.704	0.384	0.227	0.372	0.387	0.137	0.101	0.201	0.062	0.068	0.042	0.033	0.034	2.975	5.95	3.058	1.817	2.937	3.046	1.077
0.374	0.7	0.384	0.229	0.372	0.387	0.137	0.102	0.201	0.062	0.068	0.041	0.033	0.033	3.028	5.911	3.062	1.829	2.936	3.047	1.075
0.374	0.7	0.384	0.229	0.372	0.387	0.137	0.102	0.201	0.062	0.068	0.041	0.033	0.033	3.028	5.911	3.062	1.829	2.936	3.047	1.075
0.374	0.7	0.384	0.229	0.372	0.387	0.137	0.102	0.201	0.062	0.068	0.041	0.033	0.033	3.028	5.911	3.062	1.829	2.936	3.047	1.075
0.371	0.704	0.383	0.231	0.373	0.384	0.136	0.102	0.201	0.061	0.068	0.041	0.033	0.033	3.006	5.944	3.053	1.845	2.949	3.024	1.074
0.37	0.708	0.377	0.234	0.372	0.381	0.137	0.102	0.201	0.062	0.067	0.041	0.034	0.034	3	5.978	3.001	1.871	2.937	3.002	1.077
0.366	0.711	0.38	0.232	0.379	0.38	0.136	0.101	0.201	0.062	0.067	0.04	0.033	0.034	2.962	6.009	3.028	1.85	2.995	2.987	1.073
0.362	0.702	0.388	0.233	0.381	0.379	0.136	0.1	0.201	0.061	0.067	0.039	0.033	0.033	2.931	5.926	3.094	1.859	3.009	2.982	1.068
0.362	0.703	0.386	0.229	0.386	0.378	0.135	0.1	0.202	0.062	0.067	0.039	0.033	0.034	2.93	5.942	3.075	1.828	3.049	2.978	1.064
0.365	0.7	0.383	0.233	0.387	0.379	0.135	0.1	0.203	0.062	0.068	0.039	0.033	0.033	2.961	5.919	3.053	1.858	3.056	2.984	1.063
0.357	0.701	0.386	0.234	0.382	0.38	0.136	0.099	0.204	0.063	0.068	0.04	0.033	0.034	2.892	5.931	3.075	1.866	3.018	2.99	1.068
0.357	0.702	0.384	0.234	0.383	0.38	0.136	0.098	0.203	0.063	0.069	0.04	0.033	0.034	2.89	5.939	3.066	1.869	3.022	2.987	1.072
0.367	0.699	0.384	0.237	0.382	0.381	0.137	0.099	0.203	0.063	0.068	0.039	0.032	0.033	2.971	5.91	3.06	1.891	3.015	2.999	1.075
0.353	0.71	0.383	0.236	0.384	0.382	0.135	0.1	0.203	0.063	0.067	0.038	0.032	0.033	2.86	6.008	3.053	1.886	3.03	3.005	1.059
0.349	0.711	0.383	0.238	0.383	0.384	0.134	0.1	0.205	0.064	0.067	0.039	0.031	0.033	2.825	6.012	3.055	1.903	3.027	3.016	1.052
0.343	0.709	0.389	0.242	0.378	0.383	0.135	0.1	0.205	0.062	0.066	0.039	0.031	0.032	2.779	5.997	3.103	1.934	2.981	3.013	1.06
0.343	0.709	0.389	0.242	0.378	0.383	0.135	0.1	0.205	0.062	0.066	0.039	0.031	0.032	2.779	5.997	3.103	1.934	2.981	3.013	1.06
0.343	0.709	0.389	0.242	0.378	0.383	0.135	0.1	0.205	0.062	0.066	0.039	0.031	0.032	2.779	5.997	3.103	1.934	2.981	3.013	1.06
0.343	0.709	0.389	0.242	0.378	0.383	0.135	0.1	0.205	0.062	0.066	0.039	0.031	0.032	2.779	5.997	3.103	1.934	2.981	3.013	1.06
0.341	0.711	0.39	0.24	0.378	0.383	0.134	0.101	0.205	0.062	0.066	0.039	0.032	0.033	2.763	6.013	3.112	1.912	2.984	3.009	1.057
0.348	0.705	0.391	0.235	0.383	0.389	0.135	0.1	0.204	0.062	0.066	0.039	0.031	0.032	2.815	5.961	3.118	1.879	3.02	3.057	1.059
0.352	0.704	0.391	0.236	0.378	0.388	0.135	0.1	0.203	0.063	0.066	0.04	0.031	0.032	2.851	5.949	3.115	1.881	2.981	3.055	1.064
0.346	0.707	0.392	0.233	0.377	0.382	0.137	0.098	0.204	0.064	0.066	0.04	0.033	0.033	2.799	5.98	3.123	1.859	2.976	3.006	1.075
0.346	0.707	0.392	0.233	0.377	0.382	0.137	0.098	0.204	0.064	0.066	0.04	0.033	0.033	2.799	5.98	3.123	1.859	2.976	3.006	1.075
0.346	0.707	0.392	0.233	0.377	0.382	0.137	0.098	0.204	0.064	0.066	0.04	0.033	0.033	2.799	5.98	3.123	1.859	2.976	3.006	1.075
0.346	0.707	0.392	0.233	0.377	0.382	0.137	0.098	0.204	0.064	0.066	0.04	0.033	0.033	2.799	5.98	3.123	1.859	2.976	3.006	1.075
0.334	0.72	0.39	0.232	0.373	0.385	0.137	0.1	0.205	0.062	0.066	0.04	0.033	0.033	2.706	6.088	3.11	1.851	2.946	3.031	1.081
0.332	0.719	0.388	0.23	0.376	0.387	0.136	0.099	0.205	0.063	0.066	0.04	0.033	0.033	2.687	6.086	3.091	1.84	2.969	3.045	1.073
0.332	0.717	0.385	0.234	0.376	0.385	0.135	0.099	0.205	0.063	0.067	0.041	0.033	0.033	2.691	6.067	3.069	1.867	2.969	3.031	1.065
0.329	0.714	0.389	0.238	0.375	0.383	0.134	0.099	0.205	0.063	0.067	0.04	0.033	0.034	2.668	6.043	3.099	1.9	2.964	3.015	1.056
0.329	0.714	0.389	0.238	0.375	0.383	0.134	0.099	0.205	0.063	0.067	0.04	0.033	0.034	2.668	6.043	3.099	1.9	2.964	3.015	1.056
0.333	0.716	0.384	0.238	0.374	0.385	0.135	0.101	0.205	0.063	0.067	0.041	0.033	0.033	2.696	6.062	3.062	1.899	2.95	3.031	1.062
0.333	0.716	0.384	0.238	0.374	0.385	0.135	0.101	0.205	0.063	0.067	0.041	0.033	0.033	2.696	6.062	3.062	1.899	2.95	3.031	1.062
0.337	0.718	0.382	0.236	0.372	0.389	0.135	0.101	0.205	0.063	0.067	0.041	0.033	0.033	2.732	6.075	3.042	1.888	2.94	3.059	1.063
0.331	0.728	0.379	0.234	0.381	0.384	0.135	0.102	0.204	0.062	0.068	0.04	0.032	0.033	2.687	6.156	3.019	1.87	3.007	3.022	1.06
0.332	0.728	0.379	0.232	0.379	0.385	0.135	0.102	0.205	0.063	0.067	0.041	0.033	0.033	2.694	6.156	3.019	1.854	2.997	3.033	1.061
0.329	0.726	0.383	0.23	0.379	0.387	0.135	0.102	0.205	0.063	0.067	0.041	0.032	0.033	2.67	6.14	3.056	1.837	2.994	3.042	1.061
0.329	0.726	0.383	0.23	0.379	0.387	0.135	0.102	0.205	0.063	0.067	0.041	0.032	0.033	2.67	6.14	3.056	1.837	2.994	3.042	1.061
0.325	0.714	0.391	0.237	0.376	0.386	0.138	0.102	0.205	0.063	0.068	0.04	0.032	0.033	2.631	6.047	3.116	1.893	2.967	3.035	1.082
0.328	0.713	0.396	0.234	0.381	0.387	0.139	0.101	0.204	0.063	0.067	0.039	0.032	0.032	2.662	6.03	3.155	1.865	3.005	3.047	1.092
0.337	0.712	0.394	0.231	0.38	0.387	0.139	0.102	0.204	0.062	0.068	0.039	0.032	0.032	2.732	6.021	3.143	1.849	2.996	3.046	1.095
0.332	0.713	0.393	0.226	0.386	0.389	0.139	0.102	0.205	0.062	0.068	0.041	0.032	0.032	2.695	6.033	3.131	1.809	3.045	3.06	1.096
0.342	0.712	0.392	0.231	0.377	0.386	0.141	0.104	0.205	0.061	0.068	0.04	0.032	0.032	2.777	6.03	3.123	1.845	2.978	3.038	1.111
0.342	0.712	0.392	0.232	0.38	0.384	0.14	0.102	0.206	0.06	0.066	0.039	0.032	0.032	2.773	6.03	3.123	1.855	3.001	3.019	1.103
0.341	0.71	0.396	0.231	0.379	0.386	0.139	0.101	0.207	0.059	0.066	0.039	0.032	0.032	2.766	6.01	3.15	1.846	2.992	3.033	1.095
0.35	0.704	0.401	0.227	0.376	0.388	0.14	0.102	0.207	0.059	0.067	0.04	0.032	0.032	2.838	5.96	3.191	1.814	2.966	3.052	1.103
0.35	0.704	0.401	0.227	0.376	0.388	0.14	0.102	0.207	0.059	0.067	0.04	0.032	0.032	2.838	5.96	3.191	1.814	2.966	3.052	1.103
0.35	0.704	0.401	0.227	0.376	0.388	0.14	0.102	0.207	0.059	0.067	0.04	0.032	0.032	2.838	5.96	3.191	1.814	2.966	3.052	1.103
0.35	0.704	0.401	0.227	0.376	0.388	0.14	0.102	0.207	0.059	0.067	0.04	0.032	0.032	2.838	5.96	3.191	1.814	2.966	3.052	1.103
0.347	0.708	0.401	0.224	0.377	0.388	0.141	0.1	0.207	0.059	0.066	0.039	0.032	0.031	2.813	5.998	3.195	1.79	2.974	3.048	1.113
0.354	0.709	0.397	0.224	0.379	0.387	0.139	0.1	0.205	0.058	0.065	0.04	0.031	0.032	2.865	5.995	3.161	1.788	2.989	3.045	1.096
0.355	0.713	0.397	0.22	0.379	0.387	0.139	0.099	0.205	0.059	0.065	0.039	0.031	0.032	2.875	6.036	3.16	1.759	2.992	3.043	1.097
0.355	0.713	0.397	0.22	0.379	0.387	0.139	0.099	0.205	0.059	0.065	0.039	0.031	0.032	2.875	6.036	3.16	1.759	2.992	3.043	1.097
0.355	0.713	0.397	0.22	0.379	0.387	0.139	0.099	0.205	0.059	0.065	0.039	0.031	0.032	2.875	6.036	3.16	1.759	2.992	3.043	1.097
0.353	0.707	0.403	0.219	0.38	0.386	0.139	0.098	0.205	0.059	0.065	0.04	0.032	0.032	2.856	5.985	3.208	1.75	2.999	3.04	1.095
0.353	0.707	0.403	0.219	0.38	0.386	0.139	0.098	0.205	0.059	0.065	0.04	0.032	0.032	2.856	5.985	3.208	1.75	2.999	3.04	1.095
0.357	0.703	0.402	0.221	0.376	0.385	0.14	0.098	0.206	0.059	0.065	0.04	0.032	0.032	2.893	5.947	3.196	1.766	2.972	3.029	1.1
