b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.468	0.682	0.383	0.236	0.394	0.385	0.139	0.048	0.167	0.058	0.062	0.036	0.028	0.029	3.655	5.42	2.999	1.849	3.068	2.997	1.083
0.457	0.687	0.382	0.238	0.393	0.386	0.139	0.047	0.168	0.057	0.062	0.035	0.028	0.028	3.571	5.459	2.991	1.86	3.065	3.004	1.081
0.462	0.685	0.381	0.237	0.393	0.385	0.139	0.046	0.168	0.057	0.062	0.035	0.029	0.029	3.605	5.444	2.981	1.855	3.061	2.998	1.08
0.464	0.684	0.38	0.241	0.392	0.386	0.139	0.045	0.169	0.057	0.063	0.035	0.028	0.028	3.622	5.439	2.972	1.889	3.053	3.007	1.081
0.47	0.686	0.375	0.241	0.39	0.384	0.139	0.045	0.169	0.057	0.062	0.036	0.029	0.029	3.667	5.452	2.932	1.885	3.039	2.992	1.08
0.47	0.686	0.375	0.241	0.39	0.384	0.139	0.045	0.169	0.057	0.062	0.036	0.029	0.029	3.667	5.452	2.932	1.885	3.039	2.992	1.08
0.472	0.68	0.38	0.239	0.393	0.384	0.139	0.043	0.17	0.057	0.062	0.036	0.028	0.029	3.684	5.402	2.969	1.872	3.066	2.988	1.08
0.466	0.673	0.384	0.245	0.394	0.39	0.139	0.044	0.173	0.058	0.061	0.035	0.027	0.028	3.642	5.351	3.004	1.914	3.071	3.035	1.081
0.466	0.67	0.393	0.238	0.39	0.396	0.139	0.043	0.173	0.058	0.061	0.036	0.027	0.027	3.635	5.331	3.073	1.863	3.039	3.084	1.086
0.466	0.67	0.393	0.238	0.39	0.396	0.139	0.043	0.173	0.058	0.061	0.036	0.027	0.027	3.635	5.331	3.073	1.863	3.039	3.084	1.086
0.467	0.672	0.393	0.238	0.389	0.394	0.14	0.043	0.173	0.057	0.061	0.035	0.027	0.027	3.641	5.344	3.072	1.862	3.035	3.069	1.092
0.467	0.671	0.397	0.236	0.387	0.394	0.139	0.043	0.174	0.057	0.061	0.036	0.028	0.027	3.645	5.337	3.102	1.844	3.021	3.067	1.086
0.465	0.67	0.395	0.239	0.388	0.391	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.632	5.33	3.091	1.87	3.027	3.048	1.088
0.465	0.67	0.395	0.239	0.388	0.391	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.632	5.33	3.091	1.87	3.027	3.048	1.088
0.465	0.67	0.395	0.239	0.388	0.391	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.632	5.33	3.091	1.87	3.027	3.048	1.088
0.467	0.668	0.392	0.243	0.389	0.39	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.647	5.311	3.068	1.898	3.033	3.035	1.087
0.467	0.668	0.392	0.243	0.389	0.39	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.647	5.311	3.068	1.898	3.033	3.035	1.087
0.467	0.668	0.392	0.243	0.389	0.39	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.647	5.311	3.068	1.898	3.033	3.035	1.087
0.467	0.668	0.392	0.243	0.389	0.39	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.647	5.311	3.068	1.898	3.033	3.035	1.087
0.467	0.668	0.392	0.243	0.389	0.39	0.14	0.043	0.173	0.057	0.061	0.035	0.028	0.028	3.647	5.311	3.068	1.898	3.033	3.035	1.087
0.47	0.669	0.394	0.24	0.394	0.391	0.141	0.042	0.171	0.057	0.059	0.035	0.027	0.027	3.666	5.321	3.079	1.877	3.072	3.048	1.095
0.483	0.667	0.391	0.24	0.392	0.391	0.139	0.043	0.17	0.057	0.06	0.035	0.027	0.027	3.769	5.303	3.056	1.876	3.053	3.046	1.08
0.483	0.667	0.391	0.24	0.392	0.391	0.139	0.043	0.17	0.057	0.06	0.035	0.027	0.027	3.769	5.303	3.056	1.876	3.053	3.046	1.08
0.487	0.67	0.389	0.236	0.394	0.391	0.138	0.043	0.17	0.057	0.06	0.034	0.027	0.027	3.804	5.327	3.045	1.848	3.071	3.043	1.078
0.488	0.67	0.393	0.234	0.393	0.389	0.138	0.044	0.17	0.056	0.059	0.035	0.027	0.027	3.813	5.326	3.07	1.833	3.063	3.026	1.078
0.477	0.671	0.395	0.237	0.391	0.387	0.138	0.045	0.17	0.056	0.059	0.034	0.027	0.028	3.726	5.331	3.087	1.857	3.045	3.015	1.077
